评论时间,姓名,点赞数,评论内容
2020-02-22,河南共青团,127833,这孩子被分期五星给刺激疯了[捂脸]...	
2020-02-21,天猫发言人,98693,妹纸声音好听，替换一下钉钉的系统提示音吧	
2020-02-21,木格妖怪,69936,你真是为了升级不择手段	
2020-02-21,支付宝Alipay,93857,我是不是也努力来个正版社畜？	
2020-02-21,成都信息工程大学,33519,在？又来给鬼畜区增加素材了？[2233娘_喝水]	
2020-02-21,西安交通大学,61637,在？又疯一个	
2020-02-22,天猫,74342,你这个黑东西好烦啊！！！[tv_白眼][tv_生气][tv_呕吐][tv_晕][tv_皱眉][tv_再见]	
2020-02-21,成都工业学院团委,24644,我觉得换成系统提示音效果会很好[tv_斜眼笑][tv_doge]	
2020-02-21,带带季子越,43777,我读书时有三个愿望，一个是能不去学校上课，二个是能玩手机，三个是能看直播，感谢钉钉把我的三个愿望一次满足了，我tm谢谢你	
2020-02-21,西南交通大学,28475,我听害怕了[捂眼]	
2020-02-21,阿里巴巴,57531,我就不信了！在这打个广告，@阿里巴巴 周末还有大活儿！看谁整活强度高！	
2020-02-21,辽宁科技大学,16201,钉钉:钉钉乐器大师[吃瓜]	
2020-02-21,大连交通大学菁菁交大,17486,还来洗脑！？[妙啊][妙啊]	
2020-02-22,四川大学学生电视台,8730,今晚这音乐是挥不走了[囧]	
2020-02-21,Yxxxx哩,10296,"[热词系列_知识增加]奇怪的音乐增加了！
(つ  と)
 ∪ω∪	"
2020-02-22,偏灯duuu,8811,钉钉已经不满足于处理低星事件了，它想冲2020年度百大up（恍惚）	
2020-02-21,路过的阿兹克先生,8559,我有一个大胆的想法，阿里巴巴人才众多，再五星好评分期付款一个软件，岂不每天都有鬼畜视频看。[热词系列_知识增加]	
2020-02-22,菜鸟_Cainiao,8303,就把它当做闹铃了[OK][OK][OK]	
2020-02-21,fracture_ray,4077,众所周知，钉钉是一款音乐软件	
2020-02-21,是南山鸭,7114,"钉钉风评被害！
告诉你们一个秘密，钉钉是付费软件
就是因为疫情，
才限时免费对学生开放的
求放过！[妙啊][doge]	"
2020-02-22,大连外国语大学,2501,好怕这个钉子会甩出去[微笑]	
2020-02-21,安黎之秋,2774,"同学，你好 ，有什么事情我们能帮到你。
我要说的事，你们千万别害怕。
我们是警察，我们不会怕，你请说。
我刚才，在钉钉上网课。
钉钉是哪一位?
不是哪一位，可以直播上课还能连麦开摄像头的钉钉。
（画）
不是课堂派，是钉钉。
（画）
它图标是翅膀，不是猫头鹰。
（画）
不是蝙蝠
钉钉啊！你们都没上网课吗？是那个阿里巴巴的钉钉啊，原来是个办公软件的钉钉啊！明白吗?
明白了，你继续说。
它疯狂地响，从早上八点就催我上课，就像午夜凶铃一样，老师还会叫你去打卡，不打卡就在班级群@你，然后你爸妈就知道了。老师还会用它看你直播看了多久，在上课时间，全都是它。
（警察笑）
你在笑什么
我想起高兴的事情
什么高兴的事情
我不用上网课
你又笑什么
我也不用上网课
你们是同校的，警校不上网课?
对 对
不是 ，是我们已经毕业了。
我再重申一遍，我没在开玩笑！
对 对
我们言归正传，那个，你刚才说的这个——钉钉，好用吗？
它不是好不好用的问题，它真的是那种，那种很少见的那种，他的翅膀像蝙蝠，老师笑容很核善，嘴角弯弯的，很可爱，遗憾的是他原来是个办公软件，现在却用来直播上课
（警察又笑了）
你欺人太甚！我忍你很久啦！
我不用上网课
你明明在笑我！你都没停过！
同学我们受过严格的训练，无论多好笑，我们都不会笑，除非忍不住
不如这样，同学，你先回去等消息，我们一有进展，第一时间通知你
行，你们赶紧解决，好吗，很可怕的，多打一些差评
（开门出去，背后传来大笑声）
（又开门看）
同学，你网课上完了吗?
（出去，大笑声，又进）
同学?	"
2020-02-21,中兴手机情报官,1958,小兴是不是来晚了？[吃瓜]	
2020-02-22,大连理工大学盘锦校区,1650,午夜凶钉……（完了，被钉洗脑了）	
2020-02-21,沐州_,2371,什么时候出一期“钉你太美”[doge][吃瓜]	
2020-02-21,阿里巴巴,13152,父子对线归父子对线。帮忙转发还是要转发的！[tv_鼓掌]	
2020-02-22,闲鱼,1132,我可以卸载你吗[微笑][微笑]	
2020-02-21,八荒尘埃,1315,呵，我不用钉钉，我有中国大学MOOC，学习通，腾讯会议，慕课程，[笑哭][笑哭][笑哭]	
2020-02-21,枭鷜xl,788,？？？我来B站好像是要搜搜网课感想的[tv_流泪]	
2020-02-22,SuperType59,1094,这就是阿里最新的虚拟歌姬形象吗？i了i了	
2020-02-21,莫莫莫莫纪,915,"鬼畜区up（迫真）
别做软件了，做自媒体吧[doge]	"
2020-02-22,西南大学团委,654,换成提示音蛮好[doge]	
2020-02-21,沐州_,1489,"各位?我在这里分享一个我自己真实的故事?希望你看完。
我是一个三流学校的初中生?今年初三?
我平平凡凡?没有什么特长与天赋?学习成绩不好?也不算很努力。今年迎接我的就是中考了?我似乎自己都对自己自暴自弃了?这次期末考试我比班上最高差了整整250分。似乎命运如此?我就只能上一个差高中。
寒假的每一天晚上?我都默默流泪?为的是这三年没有努力?留下的遗憾。然而?这次疫情?学校布置了在钉钉上网课。
钉钉这个软件?仿佛给予了我希望?它在给我一个自我救赎的机会！在这里上的每一堂课?我都收获满满！这一定是神的旨意?我可以改变自己的命运！感谢钉钉?从今天起?我一定好好学习?以梦为马?不负韶华！！！（五	"
2020-02-21,好爱fsl,610,这是钉钉创立时的第一首宣传曲，后来由于太过诡异容易吓坏小孩，被删除了，今天有幸再听到这首歌曲，我非常感动，感谢b站，感谢up主！泪目[doge][doge]	
2020-02-21,Happynewyear_QwQ,1190,"第一！
没看的给个预告~
歌词：
钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉	"
2020-02-22,西安航空职业技术学院,533,来人啊！！！钉钉又疯了[tv_流泪][tv_流泪][tv_流泪]	
2020-02-22,济南市莱芜一中,500,不 择 手 段[热词系列_“狼火”]	
2020-02-22,南昌大学,475,谢谢，有被怕到[热词系列_知识增加]	
2020-02-22,帅脸熊Official,556,"经典复古鬼畜，钉三多也来甩了【x

《Ievan Polkka》（中文译名《甩葱歌》）是一首来自芬兰的波尔卡（Polka、Polkka）舞曲，是首都赫尔辛基的地方歌谣。民间主要流传且被大部分人承认的版本为日本虚拟歌姬初音未来翻唱的版本。	"
2020-02-22,828维文,576,我刚想说 谁画这个钉钉画的这么像 然后就发现 这原来是钉钉发的啊[囧]	
2020-02-21,一拳一嘤,771,"好听
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
好评[tv_点赞]	"
2020-02-21,浅研有点困,472,"明天早读
同学大脑：读死我吧
我的大脑：钉钉钉钉钉钉钉钉钉钉钉钉

我要是被老师叫家长了可不能怪我[doge][doge]	"
2020-02-22,baka墨,315,好好一个官方号非得跑去整活，看这2级号都30多w粉丝了	
2020-02-21,零度心碎,257,你到底是个直播软件 还是个鬼畜up主啊？	
2020-02-21,77要努力变强,243,我从B站转到钉钉上网课，你倒好，在B站浪的风生水起[doge][doge][doge]	
2020-02-21,五线乐谱之上,347,著名唱见钉三多[doge][doge][doge]	
2020-02-22,武汉软件工程学院,278,完了，完了，这孩子在说胡话，多半是感染了，拉走隔离	
2020-02-21,cr口我,795,"关于钉钉。
疫情之前：[tv_疑问]
听说之后：[无语]
看见别人开始网课：[吃瓜]
查看各大商城评论：[偷笑]
知到自己要用：[惊讶]
几天后：[灵魂出窍]	"
2020-02-21,旗木卡卡西,224,建议改：午夜凶钉	
2020-02-23,轻视频官方,158,我一点都不羡慕[微笑][微笑]	
2020-02-21,舟筱筱,263,完蛋，自从你叫了我爸爸之后，又投个甩钉歌，我现在彻底无法直视老师发作业之后的叮叮声了[囧][热词系列_我哭了]	
2020-02-22,咸鱼修士,124,我赌这小姐姐声音绝对是一粗糙大汉用变声器唱的，如果不让我看到小姐姐就当默认了[doge]	
2020-02-21,TC张zero,151,"@钉钉DingTalk  速来 
进来捞人！！！
简单的介绍一下，下面我艾特的这位是唱这一作品的小姐姐@-Nuey- 
微博@坎瞳
（悄么声滴说一句，据我观察坎瞳小姐姐在微博上更活跃一点）
这个小姐姐的微博简介是这样的:“利事乐队鼓手‖录音师‖日语主持‖音频算法深造中”
小姐姐本人真的太值得爱了，真的是堪比天使的存在，是我见过的非常非常非常好的人了，小姐姐不但本人能力超强，她所在的利事乐队也是宝藏一般的存在。
真的很不希望如此喜欢坎瞳小姐姐被埋没，希望大家能够喜欢这样一位宝藏女神	"
2020-02-21,zclaiqccHorizon,122,官方已经疯了，自己嗨起来了[热词系列_知识增加]	
2020-02-22,不吃猫的鱼不是好咸鱼,113,我觉得你们得做好准备了，因为过不了多久钉钉将迎来史上最多卸载量[吃瓜][吃瓜]	
2020-02-21,特效小哥studio,107,钉钉这整活速度····················	
2020-02-21,我就是个无常,112,奇怪的蝙蝠出现了[热词系列_知识增加]	
2020-02-21,星落の霧弥,141,哈哈哈，所以说钉钉真的是有趣，我决定不分期付款了[doge]	
2020-02-22,无法逃避的现实,73,钉钉是不是发现了什么赚钱的好方法？	
2020-02-21,青月十三,73,恭喜钉钉入驻鬼畜区	
2020-02-22,咿咿呀呀乱学语,93,燕子的叫声原来是这样	
2020-02-23,你好历史旗舰店,67,"[热词系列_知识增加]你这dd(钉钉)是翅膀硬了～
(つ  と)
 ∪ω∪	"
